item_id,subsystem,item,authority,estimate_status,notes
BODY-001,resonator,zither-style body and soundboard,pending_measurement,estimate_concept,"Soundboard material, bracing, bridge load, and body form require prototype tests."
STRING-001,stringing,fretless string courses,pending_measurement,estimate_material_family,"Gauge, material, course count, pitch map, tension, and speaking length remain unmeasured."
BRIDGE-001,stringing,bridge and termination hardware,pending_measurement,estimate_concept,"Bridge geometry and coupling must be tested before fabrication use."
HAMMER-001,action,spring-mounted hammer arms,pending_measurement,estimate_mechanism,"Arm material, pivot, mass, stiffness, and contact geometry require action coupon trials."
TIP-001,action,replaceable hammer tips,pending_measurement,estimate_material_family,"Tip hardness shape and attachment method must be measured against tremolo tone and string wear."
SPRING-001,action,spring return system,pending_measurement,estimate_mechanism,"Spring style rate preload and mounting remain open until rebound tests exist."
KEY-001,interface,key tab or lever actuation,pending_measurement,estimate_concept,"Travel leverage and player feel require ergonomic and mechanical tests."
MUTE-001,control,optional damping or mute materials,concept_only,estimate_option,"Optional noise-control study; no damping target specified."
TEST-001,validation,recording and action measurement setup,pending_measurement,estimate_test_need,"Needed before promoting tuning, tremolo, or action claims."
FIXTURE-001,test_fixture,one-course action coupon frame,pending_measurement,estimate_test_need,"Holds one string course and interchangeable action parts; geometry and load rating are pending review."
FIXTURE-002,test_fixture,interchangeable hammer-arm mount,pending_measurement,estimate_test_need,"Supports action comparisons without committing a full keyboard/action layout."
LOG-001,validation,rebound and wear observation log,concept_only,estimate_test_need,"Planned evidence artifact for L3 promotion; no measurements exist yet."
SAFETY-001,safety,string and spring test checklist,concept_only,estimate_test_need,"Required before tensioned-string and spring trials; final controls depend on selected fixture."
